CAISO 5-Minute Fuel Mix Generation (megawatt)
5-minute generation data by fuel for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Batteries Generation (MW),Biogas Generation (MW),Biomass Generation (MW),Coal Generation (MW),Geothermal Generation (MW),Imports Generation (MW),Large Hydro Generation (MW),Natural Gas Generation (MW),Nuclear Generation (MW),Other Generation (MW),Small Hydro Generation (MW),Solar Generation (MW),Wind Generation (MW)
2020-09-28 07:05:00,2020-09-28 00:00:00,2020-09-28 00:05:00,2020-09-28,1,25076.0,-93.0,209.0,281.0,15.0,640.0,9460.0,744.0,9964.0,2151.0,0.0,189.0,-3.0,1519.0
2020-09-28 07:10:00,2020-09-28 00:05:00,2020-09-28 00:10:00,2020-09-28,1,25096.0,-10.0,207.0,280.0,15.0,638.0,9424.0,786.0,9857.0,2151.0,0.0,189.0,-3.0,1562.0
2020-09-28 07:15:00,2020-09-28 00:10:00,2020-09-28 00:15:00,2020-09-28,1,25034.0,-5.0,207.0,279.0,16.0,645.0,9458.0,778.0,9709.0,2151.0,0.0,188.0,-2.0,1610.0
2020-09-28 07:20:00,2020-09-28 00:15:00,2020-09-28 00:20:00,2020-09-28,1,24937.0,-16.0,207.0,279.0,17.0,678.0,9417.0,775.0,9596.0,2151.0,0.0,187.0,-2.0,1648.0
2020-09-28 07:25:00,2020-09-28 00:20:00,2020-09-28 00:25:00,2020-09-28,1,24816.0,2.0,207.0,278.0,16.0,675.0,9425.0,771.0,9415.0,2152.0,0.0,187.0,-2.0,1690.0
2020-09-28 07:30:00,2020-09-28 00:25:00,2020-09-28 00:30:00,2020-09-28,1,24712.0,-2.0,207.0,277.0,16.0,676.0,9441.0,774.0,9255.0,2151.0,0.0,187.0,-2.0,1732.0
2020-09-28 07:35:00,2020-09-28 00:30:00,2020-09-28 00:35:00,2020-09-28,1,24573.0,-5.0,207.0,275.0,15.0,681.0,9396.0,765.0,9150.0,2151.0,0.0,187.0,-2.0,1753.0
2020-09-28 07:40:00,2020-09-28 00:35:00,2020-09-28 00:40:00,2020-09-28,1,24467.0,-11.0,207.0,276.0,16.0,676.0,9333.0,768.0,9078.0,2151.0,0.0,187.0,-2.0,1788.0
2020-09-28 07:45:00,2020-09-28 00:40:00,2020-09-28 00:45:00,2020-09-28,1,24357.0,-4.0,207.0,277.0,16.0,678.0,9211.0,769.0,9066.0,2152.0,0.0,186.0,-2.0,1801.0
2020-09-28 07:50:00,2020-09-28 00:45:00,2020-09-28 00:50:00,2020-09-28,1,24264.0,-48.0,207.0,277.0,16.0,679.0,9145.0,769.0,9076.0,2152.0,0.0,186.0,-2.0,1807.0
2020-09-28 07:55:00,2020-09-28 00:50:00,2020-09-28 00:55:00,2020-09-28,1,24184.0,-29.0,207.0,276.0,17.0,681.0,9229.0,610.0,9061.0,2151.0,0.0,186.0,-2.0,1797.0
2020-09-28 08:00:00,2020-09-28 00:55:00,2020-09-28 01:00:00,2020-09-28,1,24354.0,-13.0,207.0,276.0,17.0,681.0,9210.0,477.0,9369.0,2152.0,0.0,187.0,-2.0,1793.0
2020-09-28 08:05:00,2020-09-28 01:00:00,2020-09-28 01:05:00,2020-09-28,2,24220.0,2.0,207.0,276.0,17.0,682.0,9052.0,458.0,9411.0,2153.0,0.0,187.0,-2.0,1777.0
2020-09-28 08:10:00,2020-09-28 01:05:00,2020-09-28 01:10:00,2020-09-28,2,24129.0,-32.0,207.0,276.0,17.0,680.0,9147.0,370.0,9346.0,2152.0,0.0,187.0,-2.0,1781.0
2020-09-28 08:15:00,2020-09-28 01:10:00,2020-09-28 01:15:00,2020-09-28,2,24066.0,-13.0,208.0,278.0,17.0,679.0,9105.0,347.0,9327.0,2152.0,0.0,187.0,-2.0,1781.0
2020-09-28 08:20:00,2020-09-28 01:15:00,2020-09-28 01:20:00,2020-09-28,2,23945.0,-31.0,208.0,277.0,16.0,677.0,9055.0,344.0,9279.0,2152.0,0.0,187.0,-2.0,1783.0
2020-09-28 08:25:00,2020-09-28 01:20:00,2020-09-28 01:25:00,2020-09-28,2,23897.0,-12.0,208.0,276.0,15.0,674.0,9073.0,343.0,9194.0,2153.0,0.0,187.0,-2.0,1788.0
2020-09-28 08:30:00,2020-09-28 01:25:00,2020-09-28 01:30:00,2020-09-28,2,23808.0,-18.0,208.0,276.0,15.0,676.0,9106.0,340.0,9084.0,2152.0,0.0,186.0,-2.0,1785.0
2020-09-28 08:35:00,2020-09-28 01:30:00,2020-09-28 01:35:00,2020-09-28,2,23730.0,-29.0,208.0,274.0,15.0,678.0,9025.0,336.0,9130.0,2152.0,0.0,186.0,-2.0,1757.0
